"idade";"sexo";"proporcao";"percentual"
"< 1";"Masculino";0,00397301341428776;0,397301341428776
"1-4";"Masculino";0,016277616107223;1,6277616107223
"5-9";"Masculino";0,0212970238632006;2,12970238632006
"10-14";"Masculino";0,0224151250260177;2,24151250260177
"15-19";"Masculino";0,0235504993791306;2,35504993791306
"20-24";"Masculino";0,0246739945227635;2,46739945227635
"25-29";"Masculino";0,0258100452198548;2,58100452198548
"30-34";"Masculino";0,0269664045414665;2,69664045414665
"35-39";"Masculino";0,0281066614966607;2,81066614966607
"40-44";"Masculino";0,02921216710311;2,921216710311
"45-49";"Masculino";0,0302384314925221;3,02384314925221
"50-54";"Masculino";0,0310833817523611;3,10833817523611
"55-59";"Masculino";0,0315747992054484;3,15747992054484
"60-64";"Masculino";0,0315651607924071;3,15651607924071
"65-69";"Masculino";0,0308065188362502;3,08065188362502
"70-74";"Masculino";0,0290586136050872;2,90586136050872
"75-79";"Masculino";0,0257949032014607;2,57949032014607
"80 anos ou mais";"Masculino";0,051876012398756;5,1876012398756
"< 1";"Feminino";0,00378214386211415;0,378214386211415
"1-4";"Feminino";0,0154924312385907;1,54924312385907
"5-9";"Feminino";0,0202761566010673;2,02761566010673
"10-14";"Feminino";0,0213455707190416;2,13455707190416
"15-19";"Feminino";0,0224548767278866;2,24548767278866
"20-24";"Feminino";0,0236175306216721;2,36175306216721
"25-29";"Feminino";0,024834120846396;2,4834120846396
"30-34";"Feminino";0,0260906731300545;2,60906731300545
"35-39";"Feminino";0,0273780895254256;2,73780895254256
"40-44";"Feminino";0,0286735289173439;2,86735289173439
"45-49";"Feminino";0,0299464878047341;2,99464878047341
"50-54";"Feminino";0,0311372488782173;3,11372488782173
"55-59";"Feminino";0,0322052796673553;3,22052796673553
"60-64";"Feminino";0,0329776214978452;3,29776214978452
"65-69";"Feminino";0,0332287132135354;3,32287132135354
"70-74";"Feminino";0,0327347623270801;3,27347623270801
"75-79";"Feminino";0,030934424822024;3,0934424822024
"80 anos ou mais";"Feminino";0,078609967641608;7,8609967641608
