"idade","observada","lotka","leslie","diferenca_lotka","diferenca_leslie"
"0-4",5.92209573359088,3.95252046222156,3.97629888212097,-1.96957527136932,-1.94579685146991
"5-9",6.55257489136187,4.15731804642679,4.11432579731861,-2.39525684493508,-2.43824909404326
"10-14",6.48737249239631,4.37606957450593,4.31279086959418,-2.11130291789038,-2.17458162280213
"15-19",7.40212275159093,4.60053761070173,4.51955724561112,-2.8015851408892,-2.88256550597981
"20-24",8.09141539607174,4.82915251444356,4.72564663576036,-3.26226288162818,-3.36576876031138
"25-29",7.95639638373369,5.06441660662508,4.93713380101639,-2.89197977710861,-3.0192625827173
"30-34",7.92132835424105,5.3057077671521,5.15266664758055,-2.61562058708895,-2.7686617066605
"35-39",8.49402335005454,5.54847510220863,5.37225111159445,-2.9455482478459,-3.12177223846008
"40-44",8.99271344557232,5.78856960204539,5.5865422869359,-3.20414384352694,-3.40617115863642
"45-49",7.45621554202289,6.01849192972562,5.79697685137684,-1.43772361229727,-1.65923869064606
"50-54",6.3759924554045,6.22206306305784,5.9871035594371,-0.153929392346661,-0.388888895967408
"55-59",5.38926045146184,6.37800788728037,6.1421652919529,0.988747435818534,0.752904840491066
"60-64",4.13554290314303,6.45427822902523,6.2360452676384,2.31873532588221,2.10050236449538
"65-69",3.19264593606615,6.40352320497856,6.23394742340333,3.2108772689124,3.04130148733718
"70-74",2.34927402435098,6.17933759321674,6.08109802007475,3.83006356886575,3.73182399572377
"75-79",1.50480179996955,5.67293280234846,5.74712924000437,4.16813100237892,4.24232744003483
"80 anos ou mais",1.77622408896773,13.0485980040364,15.0783210685797,11.2723739150687,13.302096979612
