"idade","sexo","proporcao","percentual","percentual_grafico"
"0-4","Feminino",0.0193864549673752,1.93864549673752,1.93864549673752
"5-9","Feminino",0.0200593323290391,2.00593323290391,2.00593323290391
"10-14","Feminino",0.0210329584341471,2.10329584341471,2.10329584341471
"15-19","Feminino",0.022040222605667,2.2040222605667,2.2040222605667
"20-24","Feminino",0.0230760366779148,2.30760366779148,2.30760366779148
"25-29","Feminino",0.0241723662643918,2.41723662643918,2.41723662643918
"30-34","Feminino",0.0252955850479482,2.52955850479482,2.52955850479482
"35-39","Feminino",0.0264513006465256,2.64513006465256,2.64513006465256
"40-44","Feminino",0.0276143166124994,2.76143166124994,2.76143166124994
"45-49","Feminino",0.028764408146878,2.8764408146878,2.8764408146878
"50-54","Feminino",0.0298615686724174,2.98615686724174,2.98615686724174
"55-59","Feminino",0.030829279533612,3.0829279533612,3.0829279533612
"60-64","Feminino",0.0316695123742036,3.16695123742036,3.16695123742036
"65-69","Feminino",0.0320411514816098,3.20411514816098,3.20411514816098
"70-74","Feminino",0.0318652586381525,3.18652586381525,3.18652586381525
"75-79","Feminino",0.0307988642139837,3.07988642139837,3.07988642139837
"80 anos ou mais","Feminino",0.0895115760018693,8.95115760018693,8.95115760018693
"0-4","Masculino",0.0203765338538345,2.03765338538345,-2.03765338538345
"5-9","Masculino",0.0210839256441471,2.10839256441471,-2.10839256441471
"10-14","Masculino",0.0220949502617947,2.20949502617947,-2.20949502617947
"15-19","Masculino",0.0231553498504442,2.31553498504442,-2.31553498504442
"20-24","Masculino",0.0241804296796887,2.41804296796887,-2.41804296796887
"25-29","Masculino",0.0251989717457721,2.51989717457721,-2.51989717457721
"30-34","Masculino",0.0262310814278572,2.62310814278572,-2.62310814278572
"35-39","Masculino",0.027271210469419,2.7271210469419,-2.7271210469419
"40-44","Masculino",0.0282511062568596,2.82511062568596,-2.82511062568596
"45-49","Masculino",0.0292053603668903,2.92053603668903,-2.92053603668903
"50-54","Masculino",0.0300094669219535,3.00094669219535,-3.00094669219535
"55-59","Masculino",0.030592373385917,3.0592373385917,-3.0592373385917
"60-64","Masculino",0.0306909403021805,3.06909403021805,-3.06909403021805
"65-69","Masculino",0.0302983227524235,3.02983227524235,-3.02983227524235
"70-74","Masculino",0.028945721562595,2.8945721562595,-2.8945721562595
"75-79","Masculino",0.0266724281860601,2.66724281860601,-2.66724281860601
"80 anos ou mais","Masculino",0.0612716346839282,6.12716346839282,-6.12716346839282
