"idade","proporcao","percentual"
"0-4",0.0376823676947802,3.76823676947802
"5-9",0.0389902711871095,3.89902711871095
"10-14",0.0408827542094906,4.08827542094906
"15-19",0.0428406211295061,4.28406211295061
"20-24",0.0448539818393191,4.48539818393191
"25-29",0.0469849694108898,4.69849694108898
"30-34",0.0491682227841797,4.91682227841797
"35-39",0.0514146417509001,5.14146417509001
"40-44",0.0536752507863567,5.36752507863567
"45-49",0.0559107379939997,5.59107379939997
"50-54",0.0580433407010521,5.80433407010521
"55-59",0.0599243259845985,5.99243259845985
"60-64",0.0615575262216549,6.15575262216549
"65-69",0.0622798986986555,6.22798986986555
"70-74",0.0619380074754694,6.19380074754694
"75-79",0.0598652062920236,5.98652062920236
"80 anos ou mais",0.173987875840015,17.3987875840015
