"idade","sexo","populacao","proporcao","percentual","percentual_grafico"
"0-4","Feminino",82242,0.0291909400964939,2.91909400964939,2.91909400964939
"5-9","Feminino",90452,0.0321049939642526,3.21049939642526,3.21049939642526
"10-14","Feminino",89769,0.0318625702381041,3.18625702381041,3.18625702381041
"15-19","Feminino",103099,0.0365939147030522,3.65939147030522,3.65939147030522
"20-24","Feminino",112523,0.0399388652085039,3.99388652085039,3.99388652085039
"25-29","Feminino",113649,0.0403385271640577,4.03385271640577,4.03385271640577
"30-34","Feminino",115247,0.0409057205965398,4.09057205965398,4.09057205965398
"35-39","Feminino",127225,0.0451571867631676,4.51571867631676,4.51571867631676
"40-44","Feminino",135768,0.0481894355076576,4.81894355076576,4.81894355076576
"45-49","Feminino",112932,0.0400840354925372,4.00840354925372,4.00840354925372
"50-54","Feminino",96186,0.0341402174572768,3.41402174572768,3.41402174572768
"55-59","Feminino",83140,0.0295096758301415,2.95096758301415,2.95096758301415
"60-64","Feminino",65542,0.0232634492814426,2.32634492814426,2.32634492814426
"65-69","Feminino",51726,0.0183596041855894,1.83596041855894,1.83596041855894
"70-74","Feminino",38695,0.0137343866520006,1.37343866520006,1.37343866520006
"75-79","Feminino",25416,0.00902114410511038,0.902114410511038,0.902114410511038
"80 anos ou mais","Feminino",30984,0.0109974476295538,1.09974476295538,1.09974476295538
"0-4","Masculino",84606,0.0300300172394149,3.00300172394149,-3.00300172394149
"5-9","Masculino",94159,0.0334207549493661,3.34207549493661,-3.34207549493661
"10-14","Masculino",93005,0.033011154685859,3.3011154685859,-3.3011154685859
"15-19","Masculino",105447,0.037427312812857,3.7427312812857,-3.7427312812857
"20-24","Masculino",115443,0.0409752887522135,4.09752887522135,-4.09752887522135
"25-29","Masculino",110513,0.0392254366732792,3.92254366732792,-3.92254366732792
"30-34","Masculino",107927,0.0383075629458706,3.83075629458707,-3.83075629458707
"35-39","Masculino",112084,0.0397830467373777,3.97830467373777,-3.97830467373777
"40-44","Masculino",117591,0.0417376989480656,4.17376989480656,-4.17376989480656
"45-49","Masculino",97138,0.0344781199276917,3.44781199276917,-3.44781199276917
"50-54","Masculino",83450,0.0296197070967682,2.96197070967682,-2.96197070967682
"55-59","Masculino",68696,0.0243829286844768,2.43829286844768,-2.43829286844768
"60-64","Masculino",50972,0.0180919797499877,1.80919797499877,-1.80919797499877
"65-69","Masculino",38223,0.0135668551750722,1.35668551750722,-1.35668551750722
"70-74","Masculino",27493,0.00975835359150928,0.975835359150928,-0.975835359150928
"75-79","Masculino",16980,0.00602687389458508,0.602687389458508,-0.602687389458508
"80 anos ou mais","Masculino",19059,0.0067647932601235,0.67647932601235,-0.67647932601235
