"ciclo","ano","populacao","indice_2022"
0,2022,2817381,1
1,2027,2994784.84818282,1.06296764554841
2,2032,3142439.53269017,1.11537613574102
3,2037,3258740.93231266,1.15665610448592
4,2042,3341860.28352777,1.18615845124524
5,2047,3396980.36298572,1.20572274853338
6,2052,3434752.40935596,1.21912954242112
7,2057,3460678.37305006,1.22833169282041
8,2062,3475593.98427731,1.23362583345217
9,2067,3476240.15824162,1.23385518616105
10,2072,3465276.19638608,1.22996364225714
11,2077,3448360.03906708,1.22395942865629
12,2082,3431357.36579062,1.21792450711871
13,2087,3419392.93864484,1.21367785849512
14,2092,3416703.0234574,1.21272310115579
15,2097,3422129.2028217,1.21464906692482
16,2102,3429665.76296935,1.21732409034112
17,2107,3436041.41997963,1.21958706329731
18,2112,3432040.13852666,1.21816685017989
19,2117,3425912.60164464,1.21599194487527
20,2122,3422503.9729851,1.21478208768537
21,2127,3423272.18684964,1.21505475718394
22,2132,3426564.39599254,1.21622329248069
23,2137,3429335.71237276,1.21720694232437
24,2142,3429839.24575056,1.21738566624484
25,2147,3428231.94511878,1.21681517165012
26,2152,3426102.4439297,1.21605932741426
27,2157,3425203.04489382,1.21574009510741
28,2162,3425900.43886177,1.21598762782236
29,2167,3427249.63508403,1.21646651094901
30,2172,3428097.78963603,1.21676755456079
31,2177,3427960.23409719,1.21671873065701
32,2182,3427192.51240823,1.21644623585104
33,2187,3426508.95622129,1.21620361471213
34,2192,3426383.4097528,1.21615905330262
35,2197,3426771.08054017,1.2162966530051
36,2202,3427261.76915598,1.21647081781129
37,2207,3427470.75792806,1.21654499619613
38,2212,3427317.44555778,1.21649057956939
39,2217,3427006.80438261,1.21638032072432
40,2222,3426806.26767066,1.21630914231006
41,2227,3426834.89676411,1.21631930390817
42,2232,3427014.87216099,1.21638318429811
43,2237,3427178.02950299,1.21644109529488
44,2242,3427210.73908575,1.21645270522011
45,2247,3427123.01664416,1.21642156905444
46,2252,3427010.26253234,1.2163815481585
47,2257,3426962.10602682,1.21636445550915
48,2262,3426998.40469421,1.21637733934253
49,2267,3427072.39702555,1.21640360214879
50,2272,3427121.66768362,1.21642109025497
51,2277,3427117.59873294,1.21641964602336
52,2282,3427077.67378987,1.21640547508124
53,2287,3427041.09844981,1.21639249304578
54,2292,3427034.74577672,1.21639023823072
55,2297,3427056.67225501,1.21639802080549
56,2302,3427084.80315387,1.21640800557463
57,2307,3427098.11155292,1.21641272925207
58,2312,3427091.68767449,1.21641044916342
59,2317,3427076.24872074,1.21640496926782
60,2322,3427066.37833386,1.21640146587695
61,2327,3427068.91817016,1.21640236736535
62,2332,3427079.93485105,1.21640627762133
63,2337,3427090.30760797,1.2164099593232
64,2342,3427093.68747269,1.21641115897093
65,2347,3427090.42677102,1.21641000161889
66,2352,3427085.63065567,1.21640829928777
67,2357,3427084.23497257,1.21640780390461
68,2362,3427087.45018582,1.21640894511102
69,2367,3427092.81935359,1.21641085084112
70,2372,3427096.93536817,1.21641231177756
71,2377,3427098.16492948,1.21641274819752
72,2382,3427097.39157177,1.21641247370227
73,2387,3427096.7361136,1.21641224105423
74,2392,3427097.69801771,1.21641258247206
75,2397,3427100.2189834,1.21641347726254
76,2402,3427103.11870904,1.21641450648991
77,2407,3427105.23870706,1.21641525896109
78,2412,3427106.28145491,1.21641562907356
79,2417,3427106.80996606,1.21641581666309
80,2422,3427107.62005152,1.21641610419447
81,2427,3427109.10132302,1.21641662995634
82,2432,3427111.05567183,1.21641732363207
83,2437,3427112.99008046,1.21641801023023
84,2442,3427114.55053283,1.21641856409653
85,2447,3427115.74503755,1.21641898807351
86,2452,3427116.84639534,1.21641937898898
87,2457,3427118.12645222,1.21641983333181
88,2462,3427119.65813681,1.21642037698728
89,2467,3427121.31250489,1.21642096418798
90,2472,3427122.90371595,1.21642152897175
91,2477,3427124.33889348,1.21642203837304
92,2482,3427125.66237262,1.21642250812816
93,2487,3427126.98873609,1.21642297890704
94,2492,3427128.40153756,1.21642348036618
95,2497,3427129.90021577,1.21642401230638
96,2502,3427131.42173863,1.21642455235505
97,2507,3427132.90233093,1.21642507787584
98,2512,3427134.32416057,1.21642558253945
99,2517,3427135.71674166,1.21642607682158
100,2522,3427137.12346306,1.21642657612267
101,2527,3427138.56645077,1.21642708829611
102,2532,3427140.03580366,1.21642760982759
