"x";"n";"idade";"nDx";"nNx";"nmx";"nax";"nqx";"npx";"lx";"ndx";"nLx";"Tx";"ex"
0;1;"< 1";177;15085;0,0117335101093802;0,0858538283062645;0,0116089904140845;0,988391009585915;1e+05;1160,89904140845;98938,7685855735;8259612,8616855;82,596128616855
1;4;"1-4";38;67157;0,000565838259600637;1,50418853165396;0,00226016118088314;0,997739838819117;98839,1009585915;223,392299140003;394798,858772232;8160674,09309993;82,5652400108215
5;5;"5-9";12;90452;0,000132667049927033;2,5;0,00066311531575341;0,999336884684247;98615,7086594515;65,3935867859545;492915,059330293;7765875,2343277;78,7488660771633
10;5;"10-14";23;89769;0,000256213169356905;2,5;0,00128024580719498;0,998719754192805;98550,3150726656;126,168627669525;492436,153794154;7272960,17499741;73,7994614186137
15;5;"15-19";44;103099;0,00042677426551179;2,5;0,00213159705064481;0,997868402949355;98424,1464449961;209,800620274385;491596,230674294;6780524,02120325;68,8908592668621
20;5;"20-24";37;112523;0,00032882166312665;2,5;0,00164275787968796;0,998357242120312;98214,3458247217;161,342390501959;490668,373147354;6288927,79052896;64,0326801316021
25;5;"25-29";60;113649;0,000527941292928226;2,5;0,00263622703187198;0,997363772968128;98053,0034342197;258,489978209516;489618,792225575;5798259,4173816;59,1339297553639
30;5;"30-34";78;115247;0,000676807205393633;2,5;0,00337831984892847;0,996621680151072;97794,5134560102;330,381145924737;488146,614415239;5308640,62515603;54,2836242806602
35;5;"35-39";128;127225;0,00100609157005306;2,5;0,00501783684189894;0,994982163158101;97464,1323100855;489,059113869269;486098,013765754;4820494,01074079;49,4591589386362
40;5;"40-44";197;135768;0,00145100465499971;2,5;0,00722880071627508;0,992771199283725;96975,0731962162;701,013478581634;483122,832284627;4334395,99697503;44,6959806692278
45;5;"45-49";240;112932;0,00212517267027946;2,5;0,01056970721911;0,98943029278089;96274,0597176346;1017,58862401052;478826,327028146;3851273,16469041;40,0032280344876
50;5;"50-54";311;96186;0,00323331877820057;2,5;0,016036962362126;0,983963037637874;95256,471093624;1527,62444167738;472463,294363927;3372446,83766226;35,4038607450365
55;5;"55-59";352;83140;0,00423382246812605;2,5;0,0209473934777434;0,979052606522257;93728,8466519467;1963,3750310334;463735,79568215;2899983,54329833;30,9401389954915
60;5;"60-64";477;65542;0,00727777608251198;2,5;0,0357386359379332;0,964261364062067;91765,4716209133;3279,57278193254;450628,426149735;2436247,74761618;26,5486321225528
65;5;"65-69";554;51726;0,0107102810965472;2,5;0,0521549208261942;0,947845079173806;88485,8988389807;4614,97504818167;430892,056574449;1985619,32146645;22,439951986923
70;5;"70-74";635;38695;0,0164103889391394;2,5;0,0788183454353628;0,921181654564637;83870,923790799;6610,56744332619;402828,20034568;1554727,264892;18,5371424877826
75;5;"75-79";705;25416;0,027738432483475;2,5;0,129698106959545;0,870301893040455;77260,3563474729;10020,5219612871;361250,476834146;1151899,06454632;14,9093159675026
80;;"80 anos ou mais";2635;30984;0,0850438936225148;11,7586337760911;1;0;67239,8343861857;67239,8343861857;790648,587712174;790648,587712174;11,7586337760911
