"x";"n";"idade";"nDx";"nNx";"nmx";"nax";"nqx";"npx";"lx";"ndx";"nLx";"Tx";"ex"
0;1;"< 1";183;15520;0,0117912371134021;0,0766476804123711;0,0116642430620218;0,988335756937978;1e+05;1166,42430620217;98922,9794112448;7631331,9396883;76,3133193968831
1;4;"1-4";38;69086;0,000550039081724228;1,61779587628866;0,00219727722275544;0,997802722777245;98833,5756937978;217,16476471546;394816,971977161;7532408,96027706;76,2130572267634
5;5;"5-9";23;94159;0,000244267674890345;2,5;0,00122059299591897;0,998779407004081;98616,4109290824;120,370500462697;492781,128394255;7137591,9882999;72,3773246364921
10;5;"10-14";22;93005;0,000236546422235364;2,5;0,00118203309692671;0,998817966903073;98496,0404286197;116,42557970286;492189,138193841;6644810,85990564;67,4627206432847
15;5;"15-19";100;105447;0,000948343717697042;2,5;0,00473050323093371;0,995269496769066;98379,6148489168;465,385085900809;490734,611529832;6152621,7217118;62,5395996026259
20;5;"20-24";157;115443;0,00135997851753679;2,5;0,00677685165601219;0,993223148343988;97914,229763016;663,550210116649;487912,273289788;5661887,11018197;57,8249670541816
25;5;"25-29";175;110513;0,00158352411028567;2,5;0,00788639979089774;0,992113600209102;97250,6795528994;766,957738890647;484336,00341727;5173974,83689218;53,2024543240112
30;5;"30-34";198;107927;0,00183457336903648;2,5;0,00913098817583147;0,990869011824169;96483,7218140087;880,991723043917;480216,129762434;4689638,83347491;48,6054926707234
35;5;"35-39";286;112084;0,00255165768530745;2,5;0,0126774173529907;0,987322582647009;95602,7300909648;1211,9957094485;474983,661181203;4209422,70371248;44,0303608454201
40;5;"40-44";349;117591;0,0029679142111216;2,5;0,0147302755701123;0,985269724429888;94390,7343815163;1390,401528705;468477,668085819;3734439,04253128;39,5636188975616
45;5;"45-49";406;97138;0,00417962074574317;2,5;0,0206819964748912;0,979318003525109;93000,3328528113;1923,43255622557;460193,082873493;3265961,37444546;35,1177385527683
50;5;"50-54";481;83450;0,00576393049730377;2,5;0,0284102654971796;0,97158973450282;91076,9002965857;2587,51891808616;448915,704187713;2805768,29157196;30,8065852311088
55;5;"55-59";616;68696;0,00896704320484453;2,5;0,0438521555897261;0,956147844410274;88489,3813784996;3880,45012024857;432745,781591876;2356852,58738425;26,634298383251
60;5;"60-64";621;50972;0,0121831593816213;2,5;0,0591152700168493;0,940884729983151;84608,931258251;5001,67981716855;410540,456748334;1924106,80579238;22,7411784687298
65;5;"65-69";716;38223;0,0187321769615153;2,5;0,0894709219503661;0,910529078049634;79607,2514410824;7122,53418036825;380229,921754492;1513566,34904404;19,012920577521
70;5;"70-74";713;27493;0,0259338740770378;2,5;0,121774179774897;0,878225820225103;72484,7172607142;8826,7669906388;340356,668826974;1133336,42728955;15,6355224952199
75;5;"75-79";748;16980;0,0440518256772674;2,5;0,19840848806366;0,80159151193634;63657,9502700754;12630,2776663173;286714,057184584;792979,758462576;12,4568848839505
80;;"80 anos ou mais";1921;19059;0,100792276614723;9,92139510671525;1;0;51027,672603758;51027,672603758;506265,701277993;506265,701277993;9,92139510671525
